Dto_Barrio_Entero;Distrito_num;Barrio_num;Barrio_nom;TOTAL;Total_Europa;España;Italia;Francia;ReinoUnido;Rusia;Alemania;Rumanía;Portugal;Ucrania;Polonia;PaísesBajos;Bulgaria;Suecia;Bélgica;Irlanda;Grecia;Suiza;Hungría;Restopaíses_Europa;Total_Africa;Marruecos;Argelia;Senegal;Nigeria;Restopaíses_Africa;Total_America;Colombia;Honduras;Venezuela;Perú;Argentina;Bolivia;Brasil;Ecuador;RepúblicaDominicana;EstadosUnidosdeAmérica;México;Chile;Paraguay;Cuba;ElSalvador;Uruguay;Nicaragua;Restopaíses_America;Total_Asia;Pakistán;China;Filipinas;India;Bangladesh;Georgia;Armenia;Japón;Nepal;Turquía;Irán;Restopaíses_Asia;Oceanía;Apátridas/  Noconsta
BARCELONA;Barcelona;Barcelona;Barcelona;1660314;1418640;1288787;41759;17792;10086;8073;7886;7505;5897;5382;3377;3285;1949;1948;1815;1399;1389;1036;1029;8246;25283;15880;2170;1798;1058;4377;126491;16375;15113;13829;13045;9801;8100;7756;7327;5967;5706;4618;4476;4302;2312;2311;1657;1264;2532;89031;23696;22519;9757;8495;6421;4147;2178;1750;1590;1458;1262;5758;631;238
1     1. el Raval;1;1;el Raval;48688;28958;22691;2030;946;666;241;399;278;212;157;176;190;77;151;96;85;65;38;46;414;2166;1558;207;76;68;257;3884;521;161;372;269;470;317;229;188;261;206;227;204;97;70;75;61;25;131;13639;4161;343;4030;1177;3088;125;39;37;119;75;34;411;26;15
1     2. el Barri Gòtic;1;2;el Barri Gòtic;22850;12634;8257;1309;621;528;202;307;173;128;109;110;170;40;115;78;86;43;38;47;273;1278;864;133;92;36;153;2455;354;229;235;179;278;194;69;68;232;59;146;140;42;46;60;33;24;67;6425;2973;145;341;806;1663;69;11;51;51;60;37;218;46;12
1     3. la Barceloneta;1;3;la Barceloneta;15125;12112;8786;1242;309;261;135;233;87;167;96;99;107;55;99;48;36;28;49;27;248;494;358;62;16;5;53;1586;185;46;197;96;222;207;38;53;113;18;90;73;44;51;45;54;11;43;904;461;77;32;119;21;15;7;11;13;42;17;89;26;3
1     4. Sant Pere, Santa Caterina i la Ribera;1;4;Sant Pere, Santa Caterina i la Ribera;23009;17822;12204;1827;845;683;227;403;124;170;111;143;195;33;112;106;90;90;47;46;366;1029;734;103;47;10;135;2535;289;79;230;144;361;237;85;74;329;132;165;163;32;33;17;50;6;109;1565;382;293;279;132;70;94;10;55;11;62;14;163;49;9
2     5. el Fort Pienc;2;5;el Fort Pienc;33445;27677;23846;1446;614;271;145;229;141;195;95;99;87;52;55;46;31;45;28;19;233;458;288;36;49;17;68;2905;391;229;393;307;347;255;129;113;118;61;122;144;46;51;30;46;46;77;2382;375;1292;56;126;131;84;20;30;46;45;32;145;13;10
2     6. la Sagrada Família;2;6;la Sagrada Família;52164;44122;39292;1911;552;341;269;238;165;308;142;145;128;42;43;44;58;62;29;29;324;486;301;37;43;8;97;4914;667;277;779;531;478;336;282;229;202;151;208;229;139;107;61;71;53;114;2621;209;1288;94;218;55;134;49;56;165;79;39;235;11;10
2     7. la Dreta de l'Eixample;2;7;la Dreta de l'Eixample;44088;38498;32116;1877;1212;648;365;537;140;237;103;129;230;41;112;108;84;53;47;78;381;452;200;41;41;9;161;3347;414;118;314;189;441;300;109;92;509;42;192;235;67;53;30;58;21;163;1728;69;674;78;122;27;23;23;100;15;139;72;386;53;10
2     8. l'Antiga Esquerra de l'Eixample;2;8;l'Antiga Esquerra de l'Eixample;43046;36642;31607;1715;844;430;210;343;147;237;116;111;169;46;81;74;58;62;30;42;320;342;178;22;23;5;114;4159;623;166;527;372;455;469;118;144;351;77;182;260;63;76;45;61;37;133;1864;110;701;338;124;49;35;10;102;15;69;36;275;31;8
2     9. la Nova Esquerra de l'Eixample;2;9;la Nova Esquerra de l'Eixample;57906;50176;45465;1738;616;359;246;289;217;271;118;133;104;43;54;64;48;64;32;31;284;425;223;60;26;6;110;4641;602;190;621;527;460;417;238;243;212;124;236;253;140;108;52;63;34;121;2629;156;1272;390;119;75;50;42;111;25;48;78;263;24;11
2     10. Sant Antoni;2;10;Sant Antoni;38700;32680;28751;1395;545;420;162;276;109;185;88;98;104;39;65;67;60;39;30;23;224;367;206;43;19;8;91;2793;377;121;338;238;299;252;131;121;194;114;135;140;88;55;30;43;22;95;2830;446;832;803;174;187;47;12;47;74;29;13;166;19;11
3     11. el Poble Sec - AEI Parc Montjuïc;3;11;el Poble Sec - AEI Parc Montjuïc;40204;31034;25993;1930;778;515;172;287;137;172;70;138;117;61;97;68;75;59;48;32;285;986;694;105;58;21;108;3608;539;204;388;236;350;226;178;162;188;450;176;142;89;58;66;51;24;81;4548;1456;488;1072;857;263;42;12;26;143;37;25;127;25;3
3     12. la Marina del Prat Vermell - AEI Zona Franca;3;12;la Marina del Prat Vermell - AEI Zona Franca;1356;1196;1158;12;2;1;6;1;7;0;3;2;0;0;1;1;0;0;1;0;1;34;23;6;0;0;5;74;8;7;8;15;5;5;3;1;0;1;0;2;15;1;0;3;0;0;52;2;38;0;0;0;4;1;0;0;0;0;7;0;0
3     13. la Marina de Port;3;13;la Marina de Port;31092;26644;25518;305;75;34;84;26;166;79;77;52;14;93;8;4;10;4;12;2;81;511;371;47;17;14;62;2037;351;276;217;319;80;108;99;208;26;100;43;32;48;47;25;28;20;10;1898;313;797;439;131;59;53;27;7;10;4;9;49;1;1
3     14. la Font de la Guatlla;3;14;la Font de la Guatlla;10239;8737;7933;311;88;42;52;40;64;45;30;19;9;16;7;6;8;15;2;4;46;132;87;5;13;4;23;811;126;54;121;91;69;86;37;49;16;21;27;23;21;16;17;10;8;19;558;89;185;37;99;14;30;15;6;15;9;26;33;1;0
3     15. Hostafrancs;3;15;Hostafrancs;16102;13313;11796;530;192;106;114;75;97;57;46;50;32;43;26;18;15;13;12;7;84;317;220;41;12;20;24;1373;191;80;139;180;111;98;123;110;40;63;41;58;42;24;9;22;5;37;1088;327;305;99;149;9;43;14;8;45;9;8;72;5;6
3     16. la Bordeta;3;16;la Bordeta;19451;17208;16317;318;106;50;43;54;75;38;29;32;18;16;16;12;8;13;14;4;45;245;168;13;15;6;43;1198;196;77;141;144;73;55;118;77;20;81;36;37;49;29;23;15;10;17;798;134;357;69;122;4;29;6;9;11;7;2;48;1;1
3     17. Sants - Badal;3;17;Sants - Badal;24903;20913;19615;425;144;62;96;46;162;57;73;42;18;29;13;16;11;13;11;4;76;360;233;32;12;9;74;2430;358;228;284;287;131;115;232;181;29;150;96;51;121;42;39;19;28;39;1195;194;421;131;159;35;93;19;20;24;8;25;66;2;3
3     18. Sants;3;18;Sants;43679;35980;33058;979;403;163;122;142;358;141;97;89;45;53;37;34;21;46;25;13;154;1022;728;86;40;17;151;4089;645;451;418;515;266;176;367;255;97;166;110;126;171;67;90;53;51;65;2571;916;533;123;440;115;109;18;42;85;23;43;124;14;3
4     19. les Corts;4;19;les Corts;45943;41831;39474;690;305;136;173;153;164;151;95;67;45;44;32;38;23;18;19;21;183;267;145;31;19;7;65;2374;279;198;323;272;179;238;101;88;168;82;72;127;91;25;32;26;14;59;1449;113;637;33;125;32;43;7;148;8;30;90;183;11;11
4     20. la Maternitat i Sant Ramon;4;20;la Maternitat i Sant Ramon;23825;21507;20418;334;153;51;83;67;53;53;79;29;23;16;13;12;10;19;11;5;78;175;103;26;5;8;33;1512;198;76;213;183;113;103;92;82;38;55;60;91;73;27;53;16;10;29;628;65;230;16;92;8;32;10;35;6;9;66;59;1;2
4     21. Pedralbes;4;21;Pedralbes;11808;10816;9607;209;354;96;187;86;38;23;42;11;8;24;6;20;6;7;5;19;68;92;34;31;0;1;26;509;39;38;43;45;32;44;29;17;63;11;12;60;15;0;23;8;3;27;387;4;102;28;25;2;8;8;52;0;35;20;103;4;0
5     22. Vallvidrera, el Tibidabo i les Planes;5;22;Vallvidrera, el Tibidabo i les Planes;4760;4566;4015;113;103;75;34;73;14;8;3;6;27;3;12;16;7;7;5;5;40;10;7;0;0;0;3;129;11;3;11;10;19;11;4;6;25;1;13;3;3;1;0;2;0;6;53;4;14;4;1;0;6;5;4;0;0;2;13;2;0
5     23. Sarrià;5;23;Sarrià;24769;23190;21002;495;681;170;141;153;40;55;58;31;54;36;27;37;18;15;14;23;140;188;97;33;7;14;37;870;89;64;99;65;56;62;34;36;166;12;20;51;41;9;14;4;8;40;507;25;107;55;33;2;25;0;127;1;26;6;100;11;3
5     24. les Tres Torres;5;24;les Tres Torres;16356;15457;14559;196;191;59;87;72;20;35;19;20;36;22;6;30;10;4;4;31;56;67;34;14;1;0;18;501;43;51;55;31;25;28;22;16;126;5;13;30;19;2;8;6;1;20;322;3;63;42;11;1;6;1;78;1;19;20;77;9;0
5     25. Sant Gervasi - la Bonanova;5;25;Sant Gervasi - la Bonanova;25984;23989;22284;421;298;120;163;121;93;73;43;27;64;10;18;29;15;20;18;35;137;171;79;25;5;3;59;1133;122;100;151;95;121;72;44;45;136;9;32;65;35;20;20;9;16;41;675;66;289;53;33;6;26;13;27;5;24;42;91;16;0
5     26. Sant Gervasi - Galvany;5;26;Sant Gervasi - Galvany;47346;43879;40478;978;668;236;232;290;91;132;71;52;114;29;64;64;31;33;18;69;229;209;82;10;5;8;104;2257;224;138;220;136;178;158;108;70;388;37;143;161;83;42;44;20;26;81;981;56;242;146;70;2;36;0;81;6;60;43;239;15;5
5     27. el Putxet i el Farró;5;27;el Putxet i el Farró;29986;27563;25131;807;404;204;155;179;66;131;42;66;66;16;27;35;20;22;18;29;145;184;104;10;17;7;46;1593;175;66;268;154;124;127;73;67;144;32;75;67;72;46;22;21;13;47;625;56;199;53;66;2;17;9;44;0;39;57;83;17;4
6     28. Vallcarca i els Penitents;6;28;Vallcarca i els Penitents;16325;14863;13537;427;152;94;93;106;59;76;70;36;31;12;17;26;11;16;3;13;84;84;56;4;3;3;18;966;119;74;149;83;97;73;56;40;52;25;39;42;40;18;10;12;6;31;408;89;90;12;103;0;29;9;16;0;13;24;23;4;0
6     29. el Coll;6;29;el Coll;7688;6831;6214;184;58;54;50;44;67;12;45;16;8;7;5;10;7;4;1;7;38;83;55;3;4;7;14;619;59;109;107;46;56;34;33;24;18;23;15;17;28;5;20;8;10;7;153;61;20;20;22;5;8;1;4;2;3;1;6;2;0
6     30. la Salut;6;30;la Salut;13455;12224;11189;354;126;93;57;77;61;48;19;31;33;6;11;15;8;12;13;8;63;188;121;13;7;3;44;739;105;49;115;51;65;51;25;46;46;20;39;44;23;12;12;18;7;11;295;44;106;10;44;12;11;6;8;7;8;1;38;6;3
6     31. la Vila de Gràcia;6;31;la Vila de Gràcia;50456;44807;38104;2291;1167;640;184;529;146;286;100;127;189;58;113;112;94;132;46;90;399;438;245;30;29;10;124;3611;340;132;397;307;418;314;116;118;489;60;251;239;89;57;44;62;20;158;1537;186;396;76;230;60;37;11;80;57;59;25;320;47;16
6     32. el Camp d'en Grassot i Gràcia Nova;6;32;el Camp d'en Grassot i Gràcia Nova;35352;31740;28887;1022;442;205;99;151;184;153;63;76;52;35;39;39;33;37;21;19;183;230;130;14;13;5;68;2161;309;198;278;228;209;174;63;92;121;30;125;114;34;36;35;31;22;62;1202;174;364;28;198;27;50;42;34;122;47;21;95;15;4
7     33. el Baix Guinardó;7;33;el Baix Guinardó;25842;23028;21386;668;190;110;71;64;100;99;54;45;33;10;14;18;17;23;29;8;89;208;122;18;21;2;45;1868;279;114;272;258;143;104;100;102;54;44;79;52;102;58;35;29;10;33;727;108;269;14;63;11;77;8;14;65;20;23;55;8;3
7     34. Can Baró;7;34;Can Baró;9320;8316;7605;221;98;35;59;39;50;26;40;16;18;17;8;10;4;8;6;7;49;105;56;11;6;8;24;619;96;70;87;79;61;30;32;38;18;9;36;7;6;15;11;9;9;6;277;73;86;3;25;7;13;7;9;13;7;4;30;2;1
7     35. el Guinardó;7;35;el Guinardó;37325;32980;30730;732;292;128;135;112;185;119;120;75;31;47;20;27;15;16;31;8;157;345;232;18;23;7;65;3102;514;355;328;397;211;134;208;201;54;124;86;76;222;48;65;27;30;22;886;181;263;21;96;13;124;53;23;30;13;25;44;8;4
7     36. la Font d'en Fargues;7;36;la Font d'en Fargues;9505;9029;8652;106;59;32;24;20;29;20;20;11;7;4;2;18;1;1;7;0;16;51;19;3;3;4;22;330;38;57;49;20;33;9;23;17;11;4;14;7;15;17;5;4;2;5;95;2;25;5;3;0;35;3;1;0;0;7;14;0;0
7     37. el Carmel;7;37;el Carmel;32724;27771;26248;447;129;65;149;65;180;71;123;60;19;54;21;12;14;10;12;5;87;477;307;39;32;16;83;3387;407;654;328;340;157;86;350;299;41;135;56;33;176;48;148;45;54;30;1085;389;195;41;83;13;141;76;11;35;13;13;75;4;0
7     38. la Teixonera;7;38;la Teixonera;12044;10412;9837;177;54;31;49;23;36;40;48;16;9;13;15;3;6;4;4;3;44;183;118;11;8;17;29;1094;141;185;151;125;52;40;85;72;8;31;42;14;58;20;38;15;8;9;354;113;56;27;84;8;29;12;2;7;2;1;13;0;1
7     39. Sant Genís dels Agudells;7;39;Sant Genís dels Agudells;7385;6267;5921;93;21;10;44;27;25;20;38;14;7;4;4;2;2;7;3;2;23;96;47;14;2;8;25;835;91;126;81;154;45;18;46;46;32;29;25;33;42;4;13;7;27;16;186;31;36;2;17;0;37;0;7;26;1;6;23;0;1
7     40. Montbau;7;40;Montbau;5114;4517;4287;92;18;7;16;6;16;18;22;5;4;3;1;0;4;3;2;0;13;47;26;5;3;0;13;430;57;48;59;56;28;30;20;24;1;11;45;4;20;10;6;2;2;7;120;18;21;0;27;0;26;5;2;11;1;5;4;0;0
7     41. la Vall d'Hebron;7;41;la Vall d'Hebron;5932;5510;5282;59;11;10;24;12;47;8;18;9;2;5;0;0;4;5;1;0;13;20;14;0;3;0;3;331;47;44;72;36;14;12;11;5;20;11;24;16;6;5;1;0;2;5;70;5;25;1;13;0;7;3;1;0;0;0;15;1;0
7     42. la Clota;7;42;la Clota;698;625;590;14;4;1;2;2;1;0;1;0;1;0;0;1;0;0;0;0;8;9;4;4;1;0;0;25;3;4;2;1;4;1;1;2;1;0;0;2;1;3;0;0;0;0;39;18;0;0;0;16;3;0;0;0;0;0;2;0;0
7     43. Horta;7;43;Horta;28055;24350;23413;242;81;35;77;47;157;49;94;27;11;15;11;6;5;9;4;4;63;388;254;27;40;7;60;2312;334;606;188;274;95;54;129;108;26;114;63;46;60;38;86;29;39;23;1002;310;173;102;55;8;138;35;11;8;7;6;149;2;1
8     44. Vilapicina i la Torre Llobeta;8;44;Vilapicina i la Torre Llobeta;25875;22547;21659;251;71;41;70;38;107;56;91;17;21;35;16;11;2;3;6;6;46;197;107;11;26;12;41;2207;312;294;200;283;66;88;261;178;11;160;41;33;98;61;71;14;18;18;921;154;399;25;32;6;142;107;5;0;10;15;26;1;2
8     45. Porta;8;45;Porta;27796;21784;20834;214;51;30;138;30;156;50;118;24;17;20;1;10;11;10;8;1;61;629;378;42;48;71;90;3806;499;1331;219;384;96;118;235;225;31;191;39;26;167;59;98;20;56;12;1574;481;301;35;197;14;254;224;4;15;4;10;35;2;1
8     46. el Turó de la Peira;8;46;el Turó de la Peira;16186;12579;12083;107;29;24;54;10;88;25;98;8;5;7;2;2;0;2;1;0;34;328;224;38;19;18;29;2236;283;283;178;177;54;71;442;168;12;309;33;13;99;32;35;7;23;17;1039;437;162;4;53;9;228;99;1;11;5;6;24;1;3
8     47. Can Peguera;8;47;Can Peguera;2215;1999;1968;11;1;0;6;0;4;2;0;2;0;0;2;3;0;0;0;0;0;54;41;1;0;4;8;128;13;29;10;7;4;3;9;14;2;13;10;0;1;5;1;4;0;3;34;4;5;2;10;0;2;4;0;0;0;0;7;0;0
8     48. la Guineueta;8;48;la Guineueta;15267;13921;13526;94;29;17;28;10;60;23;61;20;9;2;6;0;2;3;0;0;31;98;63;3;6;4;22;931;121;227;68;113;38;43;48;67;12;60;7;14;52;27;10;6;17;1;315;69;95;13;18;3;44;40;4;1;3;0;25;2;0
8     49. Canyelles;8;49;Canyelles;6813;6480;6364;28;3;3;16;4;25;5;18;1;0;0;0;0;1;0;1;0;11;39;16;4;5;1;13;213;16;59;17;22;13;4;9;26;1;15;5;2;13;4;5;0;1;1;81;18;16;1;1;2;30;3;0;0;2;0;8;0;0
8     50. les Roquetes;8;50;les Roquetes;16563;13074;12432;114;36;22;70;18;150;18;108;29;4;22;3;4;3;2;1;0;38;425;254;19;9;59;84;2292;187;1038;126;164;35;52;112;223;8;112;26;12;80;20;42;20;30;5;771;298;140;14;167;18;48;53;0;12;2;2;17;1;0
8     51. Verdun;8;51;Verdun;12865;10215;9768;116;28;12;46;17;62;31;75;5;8;11;4;3;0;1;3;0;25;252;152;27;5;24;44;1732;164;642;95;146;31;42;134;144;4;135;18;8;59;20;42;15;22;11;666;153;178;58;97;1;60;84;3;2;2;6;22;0;0
8     52. la Prosperitat;8;52;la Prosperitat;26868;22751;22015;184;45;27;70;18;154;32;93;10;7;38;2;1;4;5;4;3;39;352;195;20;25;28;84;2601;290;827;140;251;69;136;183;254;15;136;35;17;70;47;72;23;26;10;1163;219;366;27;144;26;86;227;4;9;1;0;54;0;1
8     53. la Trinitat Nova;8;53;la Trinitat Nova;7628;6026;5758;60;2;6;39;2;40;15;76;1;1;5;2;0;0;1;0;0;18;264;132;15;12;44;61;837;90;215;88;87;14;35;62;79;3;61;9;6;38;6;19;6;17;2;501;222;46;3;56;0;53;107;0;5;0;0;9;0;0
8     54. Torre Baró;8;54;Torre Baró;2923;2425;2322;23;4;4;7;2;11;12;1;7;0;10;0;1;0;0;0;0;21;189;135;4;8;15;27;249;24;64;12;26;4;17;28;25;0;13;7;1;8;5;8;6;1;0;60;29;14;4;1;5;2;0;0;0;0;3;2;0;0
8     55. Ciutat Meridiana;8;55;Ciutat Meridiana;11152;7795;7436;40;4;15;72;6;79;15;77;25;7;7;0;0;0;0;1;1;10;885;461;23;12;194;195;1689;105;704;50;105;20;34;68;246;0;263;10;7;18;12;17;7;13;10;783;560;77;12;52;4;16;28;1;8;2;0;23;0;0
8     56. Vallbona;8;56;Vallbona;1401;1221;1161;13;2;1;13;1;1;6;12;3;1;4;0;0;0;0;0;0;3;41;32;4;1;0;4;78;8;20;3;10;0;4;2;10;0;2;1;1;8;5;2;0;0;2;60;38;13;0;5;0;0;0;0;1;2;0;1;0;1
9     57. la Trinitat Vella;9;57;la Trinitat Vella;10513;7582;7126;82;14;8;45;7;156;9;66;2;14;10;9;3;3;1;2;2;23;805;584;49;18;63;91;976;115;167;37;143;42;54;57;150;2;72;14;7;38;17;31;12;16;2;1149;800;67;19;99;14;86;32;1;5;1;3;22;1;0
9     58. Baró de Viver;9;58;Baró de Viver;2653;2287;2226;13;1;0;12;2;14;5;5;1;3;2;0;0;0;1;0;0;2;119;75;34;4;5;1;138;19;34;12;23;5;2;11;9;1;10;1;0;4;3;0;1;2;1;109;46;29;1;5;3;13;6;1;0;0;0;5;0;0
9     59. el Bon Pastor;9;59;el Bon Pastor;13730;11138;10707;77;19;9;45;15;83;40;73;12;4;13;1;5;1;1;5;1;27;334;212;25;37;20;40;1388;251;386;101;124;27;48;119;122;3;55;7;9;36;13;44;9;18;16;868;452;141;9;69;22;78;70;2;7;1;8;9;2;0
9     60. Sant Andreu;9;60;Sant Andreu;58225;54002;52401;527;153;91;110;53;143;101;127;40;40;33;9;14;7;17;18;7;111;553;304;47;36;20;146;2583;358;371;352;345;134;101;152;170;43;113;64;36;100;73;59;48;33;31;1079;217;463;13;61;13;161;34;12;6;14;7;78;3;5
9     61. la Sagrera;9;61;la Sagrera;29568;26071;24932;420;72;31;120;53;113;64;90;34;16;23;8;14;9;7;11;4;50;219;144;13;15;5;42;2287;339;253;210;446;121;68;170;178;37;136;46;37;99;37;29;24;34;23;987;96;585;24;47;9;87;66;11;4;8;20;30;1;3
9     62. el Congrés i els Indians;9;62;el Congrés i els Indians;14549;12789;12113;232;52;25;66;32;72;29;48;19;2;26;4;7;7;5;8;4;38;145;87;7;14;3;34;1124;183;150;142;142;58;32;106;75;9;52;18;23;54;33;22;7;10;8;488;39;274;3;25;14;72;29;7;3;8;4;10;3;0
9     63. Navas;9;63;Navas;22299;19466;18405;395;109;57;56;44;96;69;63;33;13;28;9;3;7;6;9;8;56;211;121;16;33;1;40;1645;219;129;193;290;112;82;169;72;23;123;44;29;44;31;19;29;22;15;974;104;601;23;35;0;63;46;30;9;8;8;47;0;3
10     64. el Camp de l'Arpa del Clot;10; 64;el Camp de l'Arpa del Clot;38838;33508;30473;1138;393;213;156;159;129;155;139;77;72;36;36;39;34;32;20;17;190;443;303;32;27;5;76;3301;412;196;445;415;300;216;289;178;76;158;134;112;108;74;44;68;33;43;1564;237;758;69;88;51;132;40;28;30;36;16;79;13;9
10     65. el Clot;10; 65;el Clot;26759;23881;22049;700;188;119;89;76;130;127;81;61;33;36;12;19;13;12;9;10;117;386;287;25;16;9;49;1646;169;113;193;210;183;121;108;75;47;83;91;55;90;34;14;28;9;23;839;163;461;23;28;8;45;11;15;6;19;8;52;4;3
10     66. el Parc i la Llacuna del Poblenou;10; 66;el Parc i la Llacuna del Poblenou;15914;13966;12028;677;219;170;108;111;82;61;61;61;51;39;43;31;26;24;12;22;140;288;158;22;11;16;81;1001;96;48;94;83;123;127;32;43;76;29;43;62;58;17;25;19;1;25;646;72;334;29;36;5;41;7;20;2;27;6;67;5;8
10     67. la Vila Olímpica del Poblenou;10; 67;la Vila Olímpica del Poblenou;9395;8783;7476;354;196;106;93;114;34;54;34;51;44;20;22;17;17;16;17;8;110;36;27;0;2;1;6;385;43;8;19;22;55;73;7;13;64;3;17;24;4;3;4;11;0;15;179;29;64;3;15;0;5;0;8;0;15;5;35;9;3
10     68. el Poblenou;10; 68;el Poblenou;34411;31241;26855;1450;618;445;250;319;120;158;101;97;134;61;97;89;47;40;46;29;285;256;157;11;41;2;45;1741;178;88;225;88;304;206;81;64;150;22;85;84;57;31;9;20;2;47;1139;369;398;24;74;11;34;27;16;2;53;16;115;31;3
10     69. Diagonal Mar i el Front Marítim del Poblenou;10; 69;Diagonal Mar i el Front Marítim del Poblenou;13536;12423;10601;401;179;140;320;120;81;70;102;39;66;30;45;24;18;13;23;15;136;143;75;24;4;2;38;581;60;7;72;26;79;104;15;17;62;12;12;37;12;18;1;17;2;28;379;67;134;5;24;0;14;7;8;0;19;45;56;8;2
10     70. el Besòs i el Maresme;10; 70;el Besòs i el Maresme;26116;18556;16820;294;56;57;325;36;339;74;302;38;20;43;8;7;4;6;8;5;114;1335;712;86;419;4;114;2202;324;441;272;210;97;108;149;160;20;116;53;32;38;39;76;12;33;22;4017;2812;466;30;253;62;124;37;3;126;12;30;62;2;4
10     71. Provençals del Poblenou;10; 71;Provençals del Poblenou;21185;19003;17406;466;141;82;148;89;119;85;116;59;45;36;15;19;20;19;20;15;103;355;229;56;30;10;30;1132;145;96;174;115;107;79;59;64;42;54;39;37;47;29;9;11;9;16;683;212;232;9;79;2;42;28;10;3;15;12;39;6;6
10     72. Sant Martí de Provençals;10; 72;Sant Martí de Provençals;26229;23288;22206;332;63;38;99;35;132;64;119;28;15;42;12;11;8;10;12;4;58;191;121;14;11;9;36;1464;197;148;142;213;91;84;111;101;19;123;56;23;54;32;9;28;19;14;1282;137;861;44;57;7;58;49;14;12;4;6;33;1;3
10     73. la Verneda i la Pau;10; 73;la Verneda i la Pau;28798;25425;24384;274;63;16;123;22;156;37;140;33;4;41;2;8;6;6;3;2;105;292;169;25;48;1;49;1752;199;193;172;290;88;88;138;148;11;145;42;16;80;25;35;34;33;15;1323;195;790;28;74;12;84;54;5;34;4;8;35;3;3
