Code,Libellé,tps_train_Paris(hh:mm),tps_heures
75056,Paris,0,0
13055,Marseille,03:02,"3,033333333"
69123,Lyon,01:56,"1,933333333"
31555,Toulouse,04:28,"4,466666667"
6088,Nice,05:41,"5,683333333"
44109,Nantes,02:10,"2,166666667"
34172,Montpellier,03:13,"3,216666667"
67482,Strasbourg,01:45,"1,75"
33063,Bordeaux,02:09,"2,15"
59350,Lille,01:02,"1,033333333"
35238,Rennes,01:35,"1,583333333"
51454,Reims,00:47,"0,7833333333"
83137,Toulon,03:47,"3,783333333"
42218,Saint-Étienne,02:49,"2,816666667"
76351,Le Havre,02:09,"2,15"
38185,Grenoble,02:58,"2,966666667"
21231,Dijon,01:36,"1,6"
49007,Angers,01:31,"1,516666667"
69266,Villeurbanne,01:56,"1,933333333"
30189,Nîmes,02:51,"2,85"
63113,Clermont-Ferrand,03:28,"3,466666667"
13001,Aix-en-Provence,04:28,"4,466666667"
72181,Le Mans,01:01,"1,016666667"
29019,Brest,03:55,"3,916666667"
37261,Tours,01:17,"1,283333333"
80021,Amiens,01:06,"1,1"
87085,Limoges,03:12,"3,2"
74010,Annecy,03:39,"3,65"
92012,Boulogne-Billancourt,00:00,0
66136,Perpignan,05:01,"5,016666667"
57463,Metz,01:24,"1,4"
25056,Besançon,02:31,"2,516666667"
45234,Orléans,01:07,"1,116666667"
93066,Saint-Denis,00:00,0
76540,Rouen,01:23,"1,383333333"
93048,Montreuil,00:00,0
95018,Argenteuil,00:00,0
68224,Mulhouse,02:42,"2,7"
14118,Caen,02:45,"2,75"
54395,Nancy,01:30,"1,5"